K,N,run,seed,converged,conv_sec,conv_rounds,committed_frac,avg_degree,msgs_per_bs,proposes,conflicts,dropped,interference,zero_interf,avg_mbps_served,jain
5,20,17,800059,true,0.4019,8.039,1.0000,3.500,10.500,70,0,0,0.000000e+00,true,160.000,1.0000
5,20,18,800060,true,0.3942,7.883,1.0000,2.500,7.500,50,0,0,0.000000e+00,true,160.000,1.0000
5,20,19,800061,true,0.3934,7.867,1.0000,2.900,8.700,58,0,0,0.000000e+00,true,160.000,1.0000
5,20,20,800062,true,0.4012,8.025,1.0000,2.800,8.400,56,0,0,0.000000e+00,true,160.000,1.0000
5,20,21,800063,true,0.3999,7.998,1.0000,3.500,10.500,70,0,0,1.200862e-10,false,146.595,0.9300
5,20,22,800064,true,0.4046,8.091,1.0000,3.800,11.400,76,0,0,5.263084e-10,false,146.193,0.9363
5,20,23,800065,true,0.4018,8.036,1.0000,3.200,9.600,64,0,0,0.000000e+00,true,160.000,1.0000
5,20,24,800066,true,0.3986,7.972,1.0000,2.200,6.600,44,0,0,0.000000e+00,true,160.000,1.0000
5,20,25,800067,true,0.4011,8.022,1.0000,2.200,6.600,44,0,0,0.000000e+00,true,160.000,1.0000
5,20,26,800068,true,0.4024,8.048,1.0000,3.400,10.200,68,0,0,0.000000e+00,true,160.000,1.0000
5,20,27,800069,true,0.3954,7.908,1.0000,2.800,8.400,56,0,0,0.000000e+00,true,160.000,1.0000
5,20,28,800070,true,0.4054,8.107,1.0000,4.300,12.950,86,1,0,2.823477e-10,false,149.775,0.9522
5,20,29,800071,true,0.3926,7.853,1.0000,2.900,8.700,58,0,0,0.000000e+00,true,160.000,1.0000
5,40,0,900042,true,0.3997,7.995,1.0000,5.400,16.275,216,3,0,1.376784e-09,false,134.437,0.8862
5,40,1,900043,true,0.4013,8.025,1.0000,5.800,17.450,232,2,0,1.743723e-09,false,127.618,0.8527
5,40,2,900044,true,0.4185,8.370,1.0000,6.850,21.025,284,9,0,4.886432e-09,false,107.043,0.7386
5,40,3,900045,true,0.4014,8.028,1.0000,6.250,18.925,250,7,0,4.315882e-09,false,117.590,0.8160
5,40,4,900046,true,0.4009,8.018,1.0000,6.100,18.350,244,2,0,1.579658e-09,false,126.606,0.8651
5,40,5,900047,true,0.4035,8.071,1.0000,7.200,21.750,288,6,0,3.122341e-09,false,110.544,0.7846
5,40,6,900048,true,0.4336,8.671,1.0000,5.350,16.125,214,3,0,1.247122e-09,false,136.896,0.8921
5,40,7,900049,true,0.4005,8.011,1.0000,5.200,15.650,208,2,0,3.136748e-10,false,151.173,0.9570
5,40,8,900050,true,0.3976,7.953,1.0000,6.950,20.925,278,3,0,2.723922e-09,false,110.245,0.7541
5,40,9,900051,true,0.4062,8.125,1.0000,4.850,14.550,194,0,0,3.456076e-10,false,150.312,0.9592
5,40,10,900052,true,0.4872,9.745,1.0000,6.150,19.450,277,9,0,1.850522e-09,false,132.282,0.8486
5,40,11,900053,true,0.3991,7.983,1.0000,7.600,22.950,304,6,0,4.545925e-09,false,100.162,0.7099
5,40,12,900054,true,0.4444,8.888,1.0000,5.050,15.350,206,4,0,5.364314e-10,false,140.443,0.9196
5,40,13,900055,true,0.4058,8.116,1.0000,7.200,21.750,288,6,0,2.303617e-09,false,106.166,0.7348
5,40,14,900056,true,0.4040,8.080,1.0000,6.550,19.775,262,5,0,1.410142e-09,false,131.430,0.8714
5,40,15,900057,true,0.4027,8.054,1.0000,6.750,20.325,270,3,0,2.837113e-09,false,125.303,0.8440
5,40,16,900058,true,0.4071,8.141,1.0000,7.050,21.275,282,5,0,1.821469e-09,false,115.372,0.7953
5,40,17,900059,true,0.4025,8.051,1.0000,6.150,18.500,246,2,0,1.965844e-09,false,132.965,0.8818
5,40,18,900060,true,0.4320,8.640,1.0000,6.700,20.400,274,6,0,1.716147e-09,false,130.607,0.8845
5,40,19,900061,true,0.4052,8.103,1.0000,5.050,15.150,202,0,0,8.852757e-10,false,137.054,0.8806
5,40,20,900062,true,0.4042,8.085,1.0000,6.800,20.550,272,6,0,2.849892e-09,false,139.375,0.9290
5,40,21,900063,true,0.4581,9.162,1.0000,5.700,17.750,248,6,0,8.876880e-10,false,138.756,0.8978
5,40,22,900064,true,0.4136,8.273,1.0000,6.550,19.975,267,8,0,4.356137e-09,false,121.773,0.8087
5,40,23,900065,true,0.4401,8.801,1.0000,5.950,18.450,252,10,0,3.842317e-09,false,109.831,0.7593
5,40,24,900066,true,0.4008,8.016,1.0000,5.650,17.000,226,2,0,1.267466e-09,false,149.388,0.9541
5,40,25,900067,true,0.4696,9.392,1.0000,6.300,19.300,258,10,0,2.434057e-09,false,106.219,0.7380
5,40,26,900068,true,0.3994,7.987,1.0000,7.050,21.175,282,1,0,2.076480e-09,false,121.322,0.8138
5,40,27,900069,true,0.4035,8.069,1.0000,5.500,16.550,220,2,0,1.544297e-09,false,140.763,0.9274
5,40,28,900070,true,0.4016,8.032,1.0000,6.500,19.625,260,5,0,2.717726e-09,false,113.574,0.7897
5,40,29,900071,true,0.3940,7.879,1.0000,5.400,16.275,216,3,0,4.365746e-10,false,139.056,0.8848
5,60,0,1000042,true,0.4007,8.014,1.0000,9.567,28.967,574,16,0,8.676924e-09,false,87.285,0.6565
5,60,1,1000043,true,0.4029,8.058,1.0000,10.967,33.217,658,19,0,1.592659e-08,false,65.793,0.5543
5,60,2,1000044,true,0.5958,11.917,1.0000,8.233,26.433,571,27,0,4.994399e-09,false,106.654,0.7555
5,60,3,1000045,true,0.4869,9.737,1.0000,10.433,32.033,644,26,0,1.339827e-08,false,78.059,0.6258
5,60,4,1000046,true,0.4047,8.094,1.0000,9.767,29.550,586,15,0,8.306391e-09,false,104.968,0.7614
